entity_id,entity_type,scorer_name,assay_proxy,context_group,ref_score,alt_score,delta_score,uncertainty,run_id
EH38E000001|HG002_h1,ref_state,alphagenome,mpra_like,immune_hematopoietic,0.4944658146,0.49406717380000004,-0.0003986408,0.0783012781,run-20260318234432
EH38E000001|HG002_h1,ref_state,cheap_baseline,mpra_like,immune_hematopoietic,0.5,0.508,0.008,0.192,run-20260318234432
EH38E000001|HG002_h1,ref_state,ntv2_embedding,mpra_like,immune_hematopoietic,0.4901109966,0.5363149832,0.0462039865,0.1361775946,run-20260318234432
EH38E000001|HG002_h2,ref_state,alphagenome,mpra_like,immune_hematopoietic,0.4934338439,0.43440650880000004,-0.0590273351,0.07984923420000001,run-20260318234432
EH38E000001|HG002_h2,ref_state,cheap_baseline,mpra_like,immune_hematopoietic,0.5,0.508,0.008,0.192,run-20260318234432
EH38E000001|HG002_h2,ref_state,ntv2_embedding,mpra_like,immune_hematopoietic,0.46896709740000003,0.43059548700000005,-0.0383716104,0.1376526441,run-20260318234432
EH38E000001|NA12878_h1,ref_state,alphagenome,mpra_like,immune_hematopoietic,0.49822678600000003,0.8263255629,0.3280987769,0.072659821,run-20260318234432
EH38E000001|NA12878_h1,ref_state,cheap_baseline,mpra_like,immune_hematopoietic,0.5,0.88775,0.38775000000000004,0.05,run-20260318234432
EH38E000001|NA12878_h1,ref_state,ntv2_embedding,mpra_like,immune_hematopoietic,0.4654905085,0.6866325424,0.2211420339,0.1432151864,run-20260318234432
EH38E000002|HG002_h1,ref_state,alphagenome,mpra_like,immune_hematopoietic,0.4950319812,0.49436044700000004,-0.0006715341,0.07745202820000001,run-20260318234432
EH38E000002|HG002_h1,ref_state,cheap_baseline,mpra_like,immune_hematopoietic,0.5,0.508,0.008,0.192,run-20260318234432
EH38E000002|HG002_h1,ref_state,ntv2_embedding,mpra_like,immune_hematopoietic,0.4886312011,0.5289160056000001,0.0402848045,0.1338099218,run-20260318234432
EH38E000002|HG002_h2,ref_state,alphagenome,mpra_like,immune_hematopoietic,0.49333232190000004,0.829895558,0.3365632361,0.0800015172,run-20260318234432
EH38E000002|HG002_h2,ref_state,cheap_baseline,mpra_like,immune_hematopoietic,0.5,0.88775,0.38775000000000004,0.05,run-20260318234432
EH38E000002|HG002_h2,ref_state,ntv2_embedding,mpra_like,immune_hematopoietic,0.48074504230000004,0.7629052114,0.28216016920000003,0.1211920677,run-20260318234432
EH38E000002|NA12878_h1,ref_state,alphagenome,mpra_like,immune_hematopoietic,0.5028900122000001,1.3488912147,0.8460012025,0.0743350183,run-20260318234432
EH38E000002|NA12878_h1,ref_state,cheap_baseline,mpra_like,immune_hematopoietic,0.5,1.35525,0.8552500000000001,0.05,run-20260318234432
EH38E000002|NA12878_h1,ref_state,ntv2_embedding,mpra_like,immune_hematopoietic,0.48086593920000004,1.1001096959,0.6192437568,0.12138550270000001,run-20260318234432
